code,name,regioFacet,level,url,name_norm,centroid_geom,centroid_lon,centroid_lat,municipality_final_v8,province_final_v8,midwest_subregion_v8,water_count,bad_entry_count,high_conf_count,night_allowed_count,night_restricted_count,night_not_allowed_count,shelter_allowed_count,shelter_restricted_count,shelter_not_allowed_count,third_rod_allowed_count,third_rod_restricted_count,third_rod_not_allowed_count,pc4_count,authority_count,species_hint,midwest_focus_v8,mapbox_feature_id_v8,map_title_v8,map_subtitle_v8,layer_type_v8
0080,Leeuwarden,tcm:106-353430-1024,4,/regioinformatie/gemeente/leeuwarden/,leeuwarden,POINT (5.826305845649692 53.153770731082766),5.826305845649692,53.153770731082766,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::leeuwarden,Leeuwarden,,municipality_polygon
0081,Leeuwarderadeel,tcm:106-353431-1024,4,/regioinformatie/gemeente/leeuwarderadeel/,leeuwarderadeel,POINT (5.779322481152933 53.260753431166656),5.779322481152933,53.260753431166656,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::leeuwarderadeel,Leeuwarderadeel,,municipality_polygon
0140,Littenseradeel (Littenseradiel),tcm:106-353433-1024,4,/regioinformatie/gemeente/littenseradiel/,littenseradeel,POINT (5.655271738511111 53.12516739178921),5.655271738511111,53.12516739178921,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::littenseradeel,Littenseradeel (Littenseradiel),,municipality_polygon
1908,Menaldumadeel (Menaldumadiel),tcm:106-353434-1024,4,/regioinformatie/gemeente/menameradiel/,menaldumadeel,POINT (5.674031037655236 53.20930855557723),5.674031037655236,53.20930855557723,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::menaldumadeel,Menaldumadeel (Menaldumadiel),,municipality_polygon
0085,Ooststellingwerf,tcm:106-353435-1024,4,/regioinformatie/gemeente/ooststellingwerf/,ooststellingwerf,POINT (6.282771129995019 52.98244303984229),6.282771129995019,52.98244303984229,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::ooststellingwerf,Ooststellingwerf,,municipality_polygon
0086,Opsterland,tcm:106-353436-1024,4,/regioinformatie/gemeente/opsterland/,opsterland,POINT (6.112780371674541 53.04907002008171),6.112780371674541,53.04907002008171,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::opsterland,Opsterland,,municipality_polygon
0088,Schiermonnikoog,tcm:106-353438-1024,4,/regioinformatie/gemeente/schiermonnikoog/,schiermonnikoog,POINT (6.218232624745355 53.47368260957298),6.218232624745355,53.47368260957298,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::schiermonnikoog,Schiermonnikoog,,municipality_polygon
0090,Smallingerland,tcm:106-353439-1024,4,/regioinformatie/gemeente/smallingerland/,smallingerland,POINT (6.0388504106344465 53.11334524077848),6.0388504106344465,53.11334524077848,Smallingerland,Friesland (Fryslân),,57,0,57,0,0,0,0,0,0,0,0,0,5,1,Onbekend | Roofvis,False,municipality::smallingerland,Smallingerland,Friesland (Fryslân),municipality_polygon
1900,Súdwest-Fryslân,tcm:106-353440-1024,4,/regioinformatie/gemeente/sudwest-fryslan/,sudwest fryslan,POINT (5.44696230634557 52.98914616111236),5.44696230634557,52.98914616111236,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::sudwest-fryslan,Súdwest-Fryslân,,municipality_polygon
0093,Terschelling,tcm:106-353441-1024,4,/regioinformatie/gemeente/terschelling/,terschelling,POINT (5.374759104309278 53.33984798575808),5.374759104309278,53.33984798575808,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::terschelling,Terschelling,,municipality_polygon
